Year,Month,Day,Hour,BEBE
2023,1,29,10,1.03662825
2023,1,29,11,1.0428505
2023,1,29,12,1.03702625
2023,1,29,13,1.0287235
2023,1,29,14,1.03450025
2023,1,29,15,1.03669225
2023,1,29,16,1.0334405
2023,1,29,17,1.03678925
2023,1,29,18,1.03011475
2023,1,29,19,1.03059575
2023,1,29,20,1.03677475
2023,1,29,21,1.030071
2023,1,29,22,1.035692
2023,1,29,23,1.0321495
2023,1,30,0,1.0355665
2023,1,30,1,1.03849175
2023,1,30,2,1.04165075
2023,1,30,3,1.04039875
2023,1,30,4,1.0386705
2023,1,30,5,1.0350745
2023,1,30,6,1.05038475
2023,1,30,7,1.050655
2023,1,30,8,1.0428445
2023,1,30,9,1.0501965
2023,1,30,10,1.0464205
2023,1,30,11,1.049459
2023,1,30,12,1.0522125
2023,1,30,13,1.04715675
2023,1,30,14,1.050259
2023,1,30,15,1.04850425
2023,1,30,16,1.05053475
2023,1,30,17,1.05179325
2023,1,30,18,1.05040425
2023,1,30,19,1.05051725
2023,1,30,20,1.050582
2023,1,30,21,1.051812
2023,1,30,22,1.04888575
2023,1,30,23,1.04444475
2023,1,31,0,1.046086
2023,1,31,1,1.0505135
2023,1,31,2,1.045977
2023,1,31,3,1.042451
2023,1,31,4,1.0512385
2023,1,31,5,1.0496095
2023,1,31,6,1.04575775
2023,1,31,7,1.0450365
2023,1,31,8,1.04511825
2023,1,31,9,1.0440085
2023,1,31,10,1.04365525
2023,1,31,11,1.03498
2023,1,31,12,1.04148125
2023,1,31,13,1.0353585
2023,1,31,14,1.041153
2023,1,31,15,1.03564175
2023,1,31,16,1.037318
2023,1,31,17,1.031321
2023,1,31,18,1.03262025
2023,1,31,19,1.034088
2023,1,31,20,1.032372
2023,1,31,21,1.03457625
2023,1,31,22,1.03000775
2023,1,31,23,1.033164
2023,2,1,0,1.035428
2023,2,1,1,1.0401675
2023,2,1,2,1.03377525
2023,2,1,3,1.03348025
2023,2,1,4,1.03062925
2023,2,1,5,1.028491
2023,2,1,6,1.0244335
2023,2,1,7,1.023061
2023,2,1,8,1.02515275
2023,2,1,9,1.01663975
2023,2,1,10,1.0041056
2023,2,1,11,0.96442095
2023,2,1,12,0.8848445
2023,2,1,13,0.84442785
2023,2,1,14,0.843203275
2023,2,1,15,0.78905355
2023,2,1,16,0.514185875
2023,2,1,17,0.604317125
2023,2,1,18,0.60273855
2023,2,1,19,0.6049405
2023,2,1,20,0.6461506
2023,2,1,21,0.658174825
2023,2,1,22,0.65864275
2023,2,1,23,0.65803035
2023,2,2,0,0.65987025
2023,2,2,1,0.658018625
2023,2,2,2,0.659716175
2023,2,2,3,0.659322225
2023,2,2,4,0.658403275
2023,2,2,5,0.65977895
2023,2,2,6,0.659411425
2023,2,2,7,0.658053025
2023,2,2,8,0.657374075
2023,2,2,9,0.6583364
2023,2,2,10,0.65690735
2023,2,2,11,0.6632053
2023,2,2,12,0.594069925
2023,2,2,13,0.529270125
2023,2,2,14,0.556390975
2023,2,2,15,0.580408025
2023,2,2,16,0.567081425
2023,2,2,17,0.584642425
2023,2,2,18,0.624000925
2023,2,2,19,0.68954215
2023,2,2,20,0.69647475
2023,2,2,21,0.706028575
2023,2,2,22,0.7142984
2023,2,2,23,0.712839125
2023,2,3,0,0.713516275
